,VisitedAOI,Visit Start,Visit End,Visit Duration,Number of Fixations
0,Paragraph1,566.4076,708.1011,141.69349999999997,1
1,Paragraph1,908.0385,6932.3649,6024.3264,21
2,Paragraph1,7440.6303,16681.3359,9240.705599999998,29
3,Paragraph1,22055.6743,22288.9826,233.3083000000006,1
4,Paragraph1,22922.266,23138.9011,216.6350999999995,1
5,Paragraph1,24113.7914,41153.5817,17039.790300000004,10
6,Paragraph1,234445.7579,234520.7226,74.96470000001136,1
7,Paragraph1,363169.2128,363269.24299999996,100.03019999997923,1
8,Paragraph1,506798.3794,506965.0425,166.66310000000522,1
9,Paragraph1,508620.2529,509020.209,399.95609999995213,2
10,Paragraph2,23497.1891,23638.8505,141.66140000000087,1
11,Paragraph2,360286.1997,360469.5256,183.32589999999618,1
12,Paragraph2,362844.2627,363019.2292,174.96649999998044,1
13,Paragraph2,460328.5256,460461.8304,133.30479999998352,1
14,Paragraph2,506356.7591,506673.4062,316.64710000000196,2
15,Paragraph2,508386.9241,508536.9228,149.99869999999646,1
16,Paragraph3,16722.9502,21997.4023,5274.452100000002,16
17,Paragraph3,22655.6292,22888.9322,233.30299999999988,2
18,Paragraph3,227288.1823,227371.5069,83.32460000002175,1
19,Paragraph3,364765.6453,364848.9474,83.3021000000299,1
20,Paragraph3,460553.5053,461253.4014,699.8960999999545,2
21,Paragraph4,133.1086,358.082,224.9734,1
22,Paragraph4,220113.9983,224563.4853,4449.486999999994,3
23,Paragraph4,508095.3084,508170.2909,74.98250000004191,1
24,Paragraph4,511436.5915,512019.8599,583.2684000000008,2
25,Paragraph5,256443.3204,256543.2998,99.97940000001108,1
26,Paragraph5,271874.9314,272408.2119,533.2804999999935,2
27,Paragraph5,272683.1941,273349.7963,666.6021999999648,2
28,Paragraph5,291464.46,292655.9561,1191.4960999999894,5
29,Paragraph5,299813.5443,299888.5075,74.96319999999832,1
30,Paragraph5,305296.2369,321536.1001,16239.863199999963,11
31,Paragraph5,354020.229,358603.0833,4582.854300000006,12
32,Paragraph5,360986.12200000003,361052.795,66.67299999995157,1
33,Paragraph5,368865.1865,369215.1342,349.9476999999606,2
34,Paragraph5,453911.3639,454469.5925,558.2286000000313,2
35,Paragraph5,509111.8549,509236.8431,124.9882000000216,1
36,Paragraph5,511219.9609,511369.9435,149.98259999998845,1
37,Paragraph6,395454.6277,398004.3434,2549.7157000000007,5
38,Paragraph6,399654.1959,399737.5056,83.30969999998342,1
39,Paragraph6,400179.1125,400370.7564,191.6439000000246,1
40,Paragraph6,403078.8185,411302.8938,8224.075300000026,9
41,Paragraph6,509378.4962,511136.6391,1758.142899999977,7
42,Text_Area,133.1086,708.1011,574.9925,2
43,Text_Area,908.0385,6932.3649,6024.3264,21
44,Text_Area,7440.6303,22288.9826,14848.352299999999,46
45,Text_Area,22655.6292,23138.9011,483.27189999999973,3
46,Text_Area,23497.1891,23638.8505,141.66140000000087,1
47,Text_Area,24113.7914,41153.5817,17039.790300000004,10
48,Text_Area,220113.9983,256543.2998,36429.3015,6
49,Text_Area,271874.9314,273349.7963,1474.864899999986,5
50,Text_Area,291464.46,292655.9561,1191.4960999999894,5
51,Text_Area,299813.5443,299888.5075,74.96319999999832,1
52,Text_Area,305296.2369,321536.1001,16239.863199999963,11
53,Text_Area,354020.229,358603.0833,4582.854300000006,12
54,Text_Area,360286.1997,365057.2708,4771.071100000001,6
55,Text_Area,368865.1865,369215.1342,349.9476999999606,2
56,Text_Area,395454.6277,398004.3434,2549.7157000000007,5
57,Text_Area,399654.1959,400370.7564,716.5605000000214,3
58,Text_Area,403078.8185,411302.8938,8224.075300000026,9
59,Text_Area,453911.3639,454469.5925,558.2286000000313,2
60,Text_Area,460128.5416,461253.4014,1124.8597999999765,4
61,Text_Area,506356.7591,512019.8599,5663.1007999999565,18
62,SubFigure1,180660.07100000003,183951.3671,3291.2960999999777,13
63,SubFigure1,186850.9903,188259.1693,1408.1790000000037,4
64,SubFigure1,189975.6682,191025.5376,1049.869400000025,3
65,SubFigure1,192517.0479,197641.479,5124.431099999987,12
66,SubFigure1,202191.0389,202549.2583,358.21939999997267,2
67,SubFigure1,328406.3893,328639.6956,233.30629999999655,1
68,SubFigure1,329339.6928,330097.9169,758.2240999999922,2
69,SubFigure1,436825.0699,436900.0511,74.98119999998016,1
70,SubFigure1,468677.5909,469402.4991,724.9082000000053,3
71,SubFigure1,470085.7954,470744.0205,658.2250999999815,3
72,SubFigure1,472018.896,475285.1954,3266.299400000018,10
73,SubFigure1,476868.3501,477026.6911,158.3410000000149,1
74,SubFigure1,477901.6095,479868.0198,1966.4102999999886,6
75,SubFigure1,480701.3261,480776.3059,74.97979999997187,1
76,SubFigure1,482576.0712,484625.8296,2049.7583999999915,6
77,SubFigure1,497374.4486,497441.0892,66.64059999998426,1
78,SubFigure1,500207.50700000004,500324.1373,116.6302999999607,1
79,SubFigure1,500674.073,501140.6747,466.60169999999925,2
80,SubFigure1,502965.4771,503115.4568,149.97969999996712,1
81,SubFigure1,503798.7063,504098.6816,299.97529999999097,2
82,SubFigure1,512069.849,512311.4909,241.6418999999878,1
83,SubFigure1,516852.7076,517769.2217,916.5140999999712,1
84,SubFigure2,191467.1919,191817.1231,349.9311999999918,1
85,SubFigure2,192250.4098,192425.3733,174.96350000001257,1
86,SubFigure2,198174.7892,202074.3072,3899.518000000011,9
87,SubFigure2,203882.4406,205165.6563,1283.2157000000007,5
88,SubFigure2,205973.8751,219630.7708,13656.895699999994,14
89,SubFigure2,274316.3198,290564.5395,16248.219700000016,5
90,SubFigure2,292755.9596,295997.2842,3241.3245999999926,8
91,SubFigure2,301563.3226,301921.7029,358.3802999999607,2
92,SubFigure2,325131.7683,328223.1337,3091.3654000000097,8
93,SubFigure2,328706.3547,329156.3059,449.9511999999522,2
94,SubFigure2,330131.2507,352137.1005,22005.849800000025,65
95,SubFigure2,365215.5764,365398.8927,183.31630000000587,1
96,SubFigure2,379777.0184,379926.9993,149.98090000002412,1
97,SubFigure2,385478.7571,385612.1127,133.35560000000987,1
98,SubFigure2,451061.612,452861.4111,1799.7991000000038,5
99,SubFigure2,455327.8038,455394.4809,66.6771000000299,1
100,SubFigure2,475368.5193,476626.7046,1258.185300000012,4
101,SubFigure2,477601.6032,477859.9209,258.31770000001416,1
102,SubFigure2,480101.3476,480592.9661,491.6185000000405,2
103,SubFigure2,482201.0976,482534.407,333.3094000000274,1
104,SubFigure2,484642.4878,486442.3028,1799.8150000000023,6
105,SubFigure2,488750.3733,489275.3397,524.9664000000339,2
106,SubFigure2,498790.92600000004,499515.8529,724.9268999999622,2
107,SubFigure2,503148.7836,503657.0921,508.30849999998463,2
108,SubFigure2,504432.0191,504715.3627,283.343600000022,1
109,SubFigure2,512344.8194,512869.79,524.9706000000006,2
110,SubFigure3,269325.2405,270041.7904,716.5498999999836,3
111,SubFigure3,353178.68299999996,353486.9521,308.2691000000341,2
112,SubFigure3,358769.7514,358919.6999,149.9484999999986,1
113,SubFigure3,365423.8889,368381.9031,2958.014199999976,10
114,SubFigure3,369565.1125,379302.0658,9736.953299999994,23
115,SubFigure3,380418.6536,384920.4979,4501.844299999997,4
116,SubFigure3,386020.3811,391991.4923,5971.111199999985,11
117,SubFigure3,399395.8614,399520.8821,125.02069999999367,1
118,SubFigure3,400487.4161,400820.7284,333.3123000000487,2
119,SubFigure3,452978.0919,453186.3876,208.29570000001695,1
120,SubFigure3,457299.3475,457374.33700000006,74.98950000008335,1
121,SubFigure3,477351.6413,477551.6037,199.96239999996033,1
122,SubFigure3,481267.8859,481901.1494,633.2635000000009,2
123,SubFigure3,486542.2932,487783.809,1241.5157999999938,4
124,SubFigure3,489375.3005,494008.136,4632.8354999999865,10
125,SubFigure3,495124.6817,495416.3435,291.6618000000017,2
126,SubFigure3,496274.5544,496741.1711,466.616699999955,3
127,SubFigure3,498340.9907,498482.66799999995,141.67729999992298,1
128,SubFigure3,501490.6347,501773.9871,283.3524000000325,1
129,SubFigure3,505515.1883,506098.4692,583.2809000000125,2
130,SubFigure3,512903.1218,513103.0798,199.95799999998417,1
131,Figure,180660.07100000003,183951.3671,3291.2960999999777,13
132,Figure,186850.9903,188259.1693,1408.1790000000037,4
133,Figure,189975.6682,205390.7139,15415.045700000017,36
134,Figure,205757.2818,219630.7708,13873.489000000001,15
135,Figure,269325.2405,270041.7904,716.5498999999836,3
136,Figure,274316.3198,290564.5395,16248.219700000016,5
137,Figure,292755.9596,295997.2842,3241.3245999999926,8
138,Figure,301563.3226,301921.7029,358.3802999999607,2
139,Figure,325131.7683,353486.9521,28355.1838,80
140,Figure,358769.7514,358919.6999,149.9484999999986,1
141,Figure,365215.5764,368381.9031,3166.326699999976,11
142,Figure,369565.1125,391991.4923,22426.379799999995,40
143,Figure,399395.8614,399520.8821,125.02069999999367,1
144,Figure,400487.4161,400820.7284,333.3123000000487,2
145,Figure,436825.0699,453186.3876,16361.317700000014,7
146,Figure,455327.8038,457374.33700000006,2046.5332000000635,2
147,Figure,468677.5909,469402.4991,724.9082000000053,3
148,Figure,470085.7954,470744.0205,658.2250999999815,3
149,Figure,472018.896,494008.136,21989.23999999999,58
150,Figure,495124.6817,495416.3435,291.6618000000017,2
151,Figure,496274.5544,506098.4692,9823.91479999997,20
152,Figure,512069.849,513103.0798,1033.2308000000194,4
153,Figure,516852.7076,517769.2217,916.5140999999712,1
154,Formula,7282.3214,7357.3183,74.9969000000001,1
155,Formula,167297.9227,180618.3598,13320.43710000001,24
156,Formula,184067.9929,186734.4401,2666.447199999995,7
157,Formula,188350.9016,189450.7617,1099.8600999999908,5
158,Formula,461595.0564,468444.295,6849.238599999982,24
159,Formula,469519.1552,469919.1258,399.97060000000056,2
160,Formula,470860.6902,471918.8902,1058.2000000000116,5
161,Formula,494066.4472,494583.0547,516.6074999999837,3
162,Formula,495699.6171,496066.2431,366.6260000000475,1
163,Formula,506148.4894,506298.4326,149.9431999999797,1
164,Formula,513353.0393,513586.3778,233.33850000001257,1
