,AOI,xStart,yStart,width,height
0,Paragraph1,86.15384615,170.7692308,462.7692307,194.4615384
1,Paragraph2,569.8461538,169.5384615,459.0769232,200.6153847
2,Paragraph3,80,396,471.3846154,150.1538462
3,Paragraph4,572.3076923,394.7692308,459.0769227,155.076923
4,Paragraph5,78.76923077,570.7692308,475.076923,204.3076923
5,Paragraph6,97.23076923,799.6923077,914.4615388,176
6,Text_Area,68.92307692,169.5384615,964.9230771,830.7692305
7,SubFigure1,1101.538462,383.6923077,251.076923,435.6923077
8,SubFigure2,1358.769231,382.4615385,232.615384,446.7692307
9,SubFigure3,1602.461538,380,247.384616,452.9230769
10,Figure,1043.692308,366.4615385,841.846154,483.6923077
11,Formula,1085.538462,170.7692308,752,151.3846154
