Respondent,VisitedAOI,Dwell Start,Dwell End,Number of Fixations in Dwell,Number of Saccades in Dwell,Dwell Time
Anonymous 14-11-22 09h35m,Paragraph4,133.1086,433.0785,1.0,1.0,299.96990000000005
Anonymous 14-11-22 09h35m,Text_Area,133.1086,783.036,2.0,4.0,649.9273999999999
Anonymous 14-11-22 09h35m,Paragraph1,566.4076,716.4244,1.0,0.0,150.0168
Anonymous 14-11-22 09h35m,Paragraph1,899.6993,6957.3621,23.0,22.0,6057.6628
Anonymous 14-11-22 09h35m,Text_Area,899.6993,6957.3621,23.0,22.0,6057.6628
Anonymous 14-11-22 09h35m,Formula,7065.6955,7132.3688,1.0,0.0,66.67330000000038
Anonymous 14-11-22 09h35m,Formula,7232.3246,7390.664,1.0,2.0,158.33939999999984
Anonymous 14-11-22 09h35m,Paragraph1,7473.9587,16681.3359,29.0,32.0,9207.377199999999
Anonymous 14-11-22 09h35m,Text_Area,7473.9587,22339.0389,46.0,56.0,14865.0802
Anonymous 14-11-22 09h35m,Paragraph3,16706.3357,21964.0301,16.0,21.0,5257.6944
Anonymous 14-11-22 09h35m,Paragraph1,22055.6743,22288.9826,1.0,0.0,233.3083000000006
Anonymous 14-11-22 09h35m,Paragraph2,22547.302,22572.3117,0.0,1.0,25.009699999998702
Anonymous 14-11-22 09h35m,Text_Area,22547.302,23230.5595,3.0,6.0,683.2574999999997
Anonymous 14-11-22 09h35m,Paragraph1,22588.9728,22655.6292,0.0,2.0,66.65639999999985
Anonymous 14-11-22 09h35m,Paragraph3,22655.6292,22888.9322,2.0,1.0,233.30299999999988
Anonymous 14-11-22 09h35m,Paragraph1,22922.266,23230.5595,1.0,1.0,308.29349999999977
Anonymous 14-11-22 09h35m,Paragraph2,23480.5341,23655.5055,1.0,2.0,174.97139999999854
Anonymous 14-11-22 09h35m,Text_Area,23480.5341,23655.5055,1.0,2.0,174.97139999999854
Anonymous 14-11-22 09h35m,Paragraph1,24022.1292,24972.0448,3.0,7.0,949.9156000000003
Anonymous 14-11-22 09h35m,Text_Area,24022.1292,24972.0448,3.0,7.0,949.9156000000003
Anonymous 14-11-22 09h35m,Paragraph1,24997.0186,25488.6316,2.0,1.0,491.6130000000012
Anonymous 14-11-22 09h35m,Text_Area,24997.0186,25488.6316,2.0,1.0,491.6130000000012
Anonymous 14-11-22 09h35m,Paragraph1,25513.6351,40103.7173,42.0,41.0,14590.082199999997
Anonymous 14-11-22 09h35m,Text_Area,25513.6351,40103.7173,42.0,41.0,14590.082199999997
Anonymous 14-11-22 09h35m,Paragraph2,40137.0718,40478.6705,1.0,0.0,341.5987000000023
Anonymous 14-11-22 09h35m,Text_Area,40137.0718,40478.6705,1.0,0.0,341.5987000000023
Anonymous 14-11-22 09h35m,Paragraph2,40503.6695,40811.9272,1.0,0.0,308.25769999999466
Anonymous 14-11-22 09h35m,Text_Area,40503.6695,41703.5018,4.0,4.0,1199.8322999999946
Anonymous 14-11-22 09h35m,Paragraph1,40861.9398,41195.2406,1.0,0.0,333.30079999999725
Anonymous 14-11-22 09h35m,Paragraph2,41211.9068,41703.5018,2.0,2.0,491.59500000000116
Anonymous 14-11-22 09h35m,Paragraph2,42153.48,45736.3807,11.0,9.0,3582.9006999999983
Anonymous 14-11-22 09h35m,Text_Area,42153.48,45736.3807,11.0,9.0,3582.9006999999983
Anonymous 14-11-22 09h35m,Formula,45753.0614,45769.7513,0.0,1.0,16.689900000004855
Anonymous 14-11-22 09h35m,Paragraph2,45953.0302,76249.6834,67.0,73.0,30296.653199999993
Anonymous 14-11-22 09h35m,Text_Area,45953.0302,76249.6834,67.0,73.0,30296.653199999993
Anonymous 14-11-22 09h35m,Figure,76349.6757,76549.634,1.0,2.0,199.95829999999842
Anonymous 14-11-22 09h35m,SubFigure2,76424.66,76549.634,1.0,1.0,124.97400000000198
Anonymous 14-11-22 09h35m,Paragraph2,76666.3197,98347.2446,44.0,52.0,21680.924900000013
Anonymous 14-11-22 09h35m,Text_Area,76666.3197,99172.144,48.0,55.0,22505.824300000007
Anonymous 14-11-22 09h35m,Paragraph2,98430.5884,98855.4931,2.0,2.0,424.9047000000137
Anonymous 14-11-22 09h35m,Paragraph4,98897.1775,99172.144,1.0,0.0,274.966499999995
Anonymous 14-11-22 09h35m,Formula,99172.144,99313.7988,0.0,1.0,141.6548000000039
Anonymous 14-11-22 09h35m,SubFigure1,99655.401,99772.054,1.0,0.0,116.6530000000057
Anonymous 14-11-22 09h35m,Figure,99655.401,99772.054,1.0,0.0,116.6530000000057
Anonymous 14-11-22 09h35m,Paragraph4,99772.054,99880.3869,0.0,2.0,108.33289999999397
Anonymous 14-11-22 09h35m,Text_Area,99772.054,100488.6437,3.0,5.0,716.5896999999968
Anonymous 14-11-22 09h35m,Paragraph4,99963.6994,100113.7076,1.0,1.0,150.00819999999658
