TransitionSource,Paragraph4,Text_Area,Paragraph1,Formula,Paragraph3,Paragraph2,Figure,SubFigure2,SubFigure1,SubFigure3,Paragraph5,Paragraph6
Paragraph4,0,5,0,4,3,5,2,1,3,0,1,0
Text_Area,4,0,10,2,9,10,5,2,7,0,14,7
Paragraph1,0,9,0,0,4,7,0,0,0,0,2,0
Formula,1,1,1,0,0,4,6,1,8,2,1,0
Paragraph3,2,0,4,1,0,2,0,1,3,0,6,1
Paragraph2,5,11,4,1,1,0,2,0,0,0,0,0
Figure,1,13,0,8,0,0,0,20,13,6,0,7
SubFigure2,0,5,1,1,0,2,20,0,21,20,3,2
SubFigure1,1,7,0,4,0,0,25,18,0,3,1,0
SubFigure3,1,1,0,2,0,0,5,20,1,0,0,1
Paragraph5,4,5,0,1,4,0,5,7,0,0,0,6
Paragraph6,1,9,1,0,0,0,1,1,3,1,6,0
