TransitionSource,Paragraph4,Text_Area,Paragraph1,Formula,Paragraph3,Paragraph2,Figure,SubFigure2,SubFigure1,SubFigure3,Paragraph5,Paragraph6
Paragraph4,0.0,0.20833333333333334,0.0,0.16666666666666666,0.125,0.20833333333333334,0.08333333333333333,0.041666666666666664,0.125,0.0,0.041666666666666664,0.0
Text_Area,0.05714285714285714,0.0,0.14285714285714285,0.02857142857142857,0.12857142857142856,0.14285714285714285,0.07142857142857142,0.02857142857142857,0.1,0.0,0.2,0.1
Paragraph1,0.0,0.4090909090909091,0.0,0.0,0.18181818181818182,0.3181818181818182,0.0,0.0,0.0,0.0,0.09090909090909091,0.0
Formula,0.04,0.04,0.04,0.0,0.0,0.16,0.24,0.04,0.32,0.08,0.04,0.0
Paragraph3,0.1,0.0,0.2,0.05,0.0,0.1,0.0,0.05,0.15,0.0,0.3,0.05
Paragraph2,0.20833333333333334,0.4583333333333333,0.16666666666666666,0.041666666666666664,0.041666666666666664,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
Figure,0.014705882352941176,0.19117647058823528,0.0,0.11764705882352941,0.0,0.0,0.0,0.29411764705882354,0.19117647058823528,0.08823529411764706,0.0,0.10294117647058823
SubFigure2,0.0,0.06666666666666667,0.013333333333333334,0.013333333333333334,0.0,0.02666666666666667,0.26666666666666666,0.0,0.28,0.26666666666666666,0.04,0.02666666666666667
SubFigure1,0.01694915254237288,0.11864406779661017,0.0,0.06779661016949153,0.0,0.0,0.423728813559322,0.3050847457627119,0.0,0.05084745762711865,0.01694915254237288,0.0
SubFigure3,0.03225806451612903,0.03225806451612903,0.0,0.06451612903225806,0.0,0.0,0.16129032258064516,0.6451612903225806,0.03225806451612903,0.0,0.0,0.03225806451612903
Paragraph5,0.125,0.15625,0.0,0.03125,0.125,0.0,0.15625,0.21875,0.0,0.0,0.0,0.1875
Paragraph6,0.043478260869565216,0.391304347826087,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.13043478260869565,0.043478260869565216,0.2608695652173913,0.0
