,FixID,Fixation X,Fixation Y,Fixation Start,Fixation End,Fixation Duration,Fixation Dispersion,Paragraph1,Paragraph2,Paragraph3,Paragraph4,Paragraph5,Paragraph6,Text_Area,SubFigure1,SubFigure2,SubFigure3,Figure,Formula
0,1.0,952.8727,495.6481,133.1086,358.082,224.9734,0.2948,0,0,0,1,0,0,1,0,0,0,0,0
1,2.0,460.2509,170.6456,566.4076,708.1011,141.6935,0.11800000000000001,1,0,0,0,0,0,1,0,0,0,0,0
2,3.0,214.1108,166.5022,783.0360000000001,891.3651,108.3291,0.185,0,0,0,0,0,0,0,0,0,0,0,0
3,4.0,210.4464,198.8214,908.0385,1141.3419,233.3034,0.2571,1,0,0,0,0,0,1,0,0,0,0,0
4,5.0,289.7661,190.399,1182.9961,1349.6581,166.662,0.1125,1,0,0,0,0,0,1,0,0,0,0,0
5,6.0,394.2505,174.3449,1407.9906,1566.3332,158.3426,0.231,1,0,0,0,0,0,1,0,0,0,0,0
6,7.0,295.6923,193.4231,1658.0043,1766.2772,108.2729,0.1691,1,0,0,0,0,0,1,0,0,0,0,0
7,8.0,397.1248,188.4718,1807.9277,2107.9248,299.9971,0.2116,1,0,0,0,0,0,1,0,0,0,0,0
8,9.0,468.4133,190.4615,2149.5662,2541.1908,391.6247,0.3129,1,0,0,0,0,0,1,0,0,0,0,0
9,10.0,425.0494,194.6464,2557.8607,2832.8089,274.9482,0.2019,1,0,0,0,0,0,1,0,0,0,0,0
10,11.0,472.244,194.5291,2874.4862,3032.7945,158.3083,0.325,1,0,0,0,0,0,1,0,0,0,0,0
11,12.0,409.9992,185.5368,3074.4571,3224.4373,149.9802,0.2724,1,0,0,0,0,0,1,0,0,0,0,0
12,13.0,378.7143,192.7857,3291.11,3432.7467,141.6367,0.1603,1,0,0,0,0,0,1,0,0,0,0,0
13,14.0,465.0475,191.7015,3482.785,3682.7301,199.945,0.1911,1,0,0,0,0,0,1,0,0,0,0,0
14,15.0,511.2007,182.0001,3716.0764,3857.7348,141.6584,0.1226,1,0,0,0,0,0,1,0,0,0,0,0
15,16.0,185.2177,237.4442,3907.6912,4341.0048,433.3136,0.2502,1,0,0,0,0,0,1,0,0,0,0,0
16,17.0,242.2052,235.6605,4357.6885,4707.6317,349.9431,0.2302,1,0,0,0,0,0,1,0,0,0,0,0
17,18.0,215.1445,214.572,4724.3006,4807.6131,83.3125,0.0595,1,0,0,0,0,0,1,0,0,0,0,0
18,19.0,259.9394,229.5758,4832.6158,5107.558,274.9423,0.4491,1,0,0,0,0,0,1,0,0,0,0,0
19,20.0,322.125,219.25,5124.2192,5390.8584,266.6392,0.1297,1,0,0,0,0,0,1,0,0,0,0,0
20,21.0,415.9271,207.3848,5407.5228,5690.8259,283.3031,0.2168,1,0,0,0,0,0,1,0,0,0,0,0
21,22.0,454.4401,200.4508,5707.4889,5874.138000000001,166.649,0.2113,1,0,0,0,0,0,1,0,0,0,0,0
22,23.0,165.4802,239.2857,5949.1395,6440.745,491.6056,0.3243,1,0,0,0,0,0,1,0,0,0,0,0
23,24.0,469.0903,190.766,6790.7405,6932.3649,141.6245,0.2415,1,0,0,0,0,0,1,0,0,0,0,0
24,25.0,1299.4002,337.5022,7140.6949,7207.3326,66.6376,0.1013,0,0,0,0,0,0,0,0,0,0,0,0
25,26.0,1302.3889,203.9444,7282.3214,7357.3183,74.9969,0.0845,0,0,0,0,0,0,0,0,0,0,0,1
26,27.0,416.5055,208.1752,7440.6303,7715.6331,275.0028,0.2851,1,0,0,0,0,0,1,0,0,0,0,0
27,28.0,451.3989,220.1492,7765.5958,7890.5845,124.9888,0.1446,1,0,0,0,0,0,1,0,0,0,0,0
28,29.0,339.7863,223.9284,7915.5774,8132.2298,216.6524,0.2239,1,0,0,0,0,0,1,0,0,0,0,0
29,30.0,257.1589,242.2059,8182.2308,8382.2026,199.9718,0.1741,1,0,0,0,0,0,1,0,0,0,0,0
30,31.0,216.3519,250.3704,8423.869,8648.8309,224.9619,0.1325,1,0,0,0,0,0,1,0,0,0,0,0
31,32.0,280.5199,243.5753,8673.8276,8907.1793,233.3516,0.2187,1,0,0,0,0,0,1,0,0,0,0,0
32,33.0,340.6923,249.3205,8932.1311,9265.4259,333.2948,0.1938,1,0,0,0,0,0,1,0,0,0,0,0
33,34.0,398.7449,238.0627,9282.1058,9598.7297,316.6239,0.2224,1,0,0,0,0,0,1,0,0,0,0,0
34,35.0,451.5007,235.7185,9640.3965,9798.7303,158.3338,0.1811,1,0,0,0,0,0,1,0,0,0,0,0
35,36.0,488.7917,229.75,9840.3716,9940.3662,99.9946,0.1443,1,0,0,0,0,0,1,0,0,0,0,0
36,37.0,115.2353,269.3529,9998.711,10140.3434,141.6324,0.1905,1,0,0,0,0,0,1,0,0,0,0,0
37,38.0,190.5924,274.1747,10173.6777,10398.6334,224.9557,0.2758,1,0,0,0,0,0,1,0,0,0,0,0
38,39.0,252.27,274.6675,10457.0192,11031.9171,574.898,0.3707,1,0,0,0,0,0,1,0,0,0,0,0
39,40.0,302.2931,258.8448,11048.6125,11290.2024,241.5899,0.2192,1,0,0,0,0,0,1,0,0,0,0,0
40,41.0,351.2158,265.8791,11331.9051,11631.8691,299.964,0.17800000000000002,1,0,0,0,0,0,1,0,0,0,0,0
41,42.0,401.4067,264.8151,11681.8634,11890.1518,208.2884,0.2245,1,0,0,0,0,0,1,0,0,0,0,0
42,43.0,494.6153,244.3677,11923.4974,12140.1501,216.6526,0.2049,1,0,0,0,0,0,1,0,0,0,0,0
43,44.0,465.3596,261.0024,12165.1201,12306.7579,141.6378,0.2453,1,0,0,0,0,0,1,0,0,0,0,0
44,45.0,179.7109,292.0644,12381.7474,12765.037,383.2896,0.2215,1,0,0,0,0,0,1,0,0,0,0,0
45,46.0,456.3979,273.0808,12815.0427,13181.6762,366.6335,0.2322,1,0,0,0,0,0,1,0,0,0,0,0
46,47.0,204.0013,308.3889,13406.6328,13523.2887,116.6559,0.1173,1,0,0,0,0,0,1,0,0,0,0,0
47,48.0,280.8428,290.9007,13548.3321,14073.2283,524.8962,0.3155,1,0,0,0,0,0,1,0,0,0,0,0
48,49.0,337.9545,286.4697,14106.5588,14381.5271,274.9684,0.1917,1,0,0,0,0,0,1,0,0,0,0,0
49,50.0,405.3134,283.256,14398.1927,14956.4766,558.2839,0.2273,1,0,0,0,0,0,1,0,0,0,0,0
50,51.0,328.1672,287.2331,14981.4676,15373.086000000001,391.6184,0.2432,1,0,0,0,0,0,1,0,0,0,0,0
51,52.0,368.9971,289.4007,15489.7447,15556.4348,66.6901,0.1374,1,0,0,0,0,0,1,0,0,0,0,0
52,53.0,423.94199999999995,278.2905,15639.7439,15889.6897,249.9458,0.2352,1,0,0,0,0,0,1,0,0,0,0,0
53,54.0,472.2636,279.2634,15898.0408,16264.678999999998,366.6383,0.1703,1,0,0,0,0,0,1,0,0,0,0,0
54,55.0,176.558,318.5513,16306.3396,16681.3359,374.9963,0.1777,1,0,0,0,0,0,1,0,0,0,0,0
