AOI,Number of Saccades,Total Saccade Duration,Average Saccade Duration,Total Saccade Amplitude,Average Saccade Amplitude,Average Peak Velocity of Saccades
Whole Stimulus,3551.0,107687.199,30.32587975218248,7165.586800000001,2.4967201393728224,111.32690191495354
Paragraph1,213.0,5290.8053,24.83946150234742,394.4119,2.32007,97.09137370892019
Paragraph2,274.0,7515.6099,27.429233211678834,425.8572,1.8277133047210299,88.71677445255474
Paragraph3,221.0,5857.611,26.505027149321265,395.5683,2.1382070270270273,92.23275429864253
Paragraph4,214.0,6365.8652,29.747033644859815,318.3188,1.7883078651685393,91.06223037383177
Paragraph5,269.0,7565.2901,28.12375501858736,437.5284,1.9978465753424657,99.13016765799257
Paragraph6,437.0,14641.9754,33.505664530892446,785.1962,2.249845845272206,119.11387963386727
Text_Area,1839.0,57577.8148,31.30930657966286,4061.7672,2.6599654223968563,116.54765948885263
SubFigure1,302.0,8056.9408,26.678611920529804,382.625,1.6930309734513274,89.19910165562915
SubFigure2,667.0,17756.5296,26.621483658170916,689.8508,1.3421221789883269,86.30383733133434
SubFigure3,289.0,7532.0596,26.062489965397923,336.6072,1.544069724770642,87.88683979238753
Figure,1395.0,39394.3979,28.239711756272403,2138.8302,1.967645078196872,99.36109340501791
Formula,210.0,5665.3289,26.977756666666668,322.4211,2.0668019230769232,93.69303428571428
