Total Dwell Time,Average Dwell Time,Number of wells,Average Number of Fixations in Dwell,Average Number of Saccades in Dwell
335941.2337000001,3861.393490804599,87,10.563218390804598,16.03448275862069
48325.23590000003,1464.4010878787888,33,5.03030303030303,6.363636363636363
72933.67910000001,2431.122636666667,30,6.766666666666667,7.1
94760.70209999991,2871.5364272727243,33,7.393939393939394,8.303030303030303
70658.82339999994,2279.3168838709657,31,6.870967741935484,7.129032258064516
39033.51330000016,1084.2642583333377,36,3.4444444444444446,5.944444444444445
61384.621700000105,1278.846285416669,48,4.541666666666667,5.604166666666667
67534.39900000003,1107.1212950819677,61,4.0,7.163934426229508
82473.40460000027,1018.190180246917,81,2.9876543209876543,3.728395061728395
175123.5351000002,1733.8963871287149,101,4.584158415841584,6.603960396039604
63990.85589999994,1560.7525829268277,41,4.7317073170731705,7.048780487804878
429538.96180000005,5175.168214457832,83,15.590361445783133,22.156626506024097
