Respondent,FixID,Fixation X,Fixation Y,Fixation Start,Fixation End,Fixation Duration,Fixation Dispersion,SacID,Saccade Start,Saccade End,Saccade Duration,Saccade Amplitude,Saccade Peak Velocity,Saccade Peak Acceleration,Saccade Peak Deceleration,Saccade Direction,Paragraph1,Paragraph2,Paragraph3,Paragraph4,Paragraph5,Paragraph6,Text_Area,SubFigure1,SubFigure2,SubFigure3,Figure,Formula,Timestamp
Anonymous 14-11-22 09h35m,1.0,947.656,491.5955,133.1086,358.082,224.9734,0.3205,,,,,,,,,,0,0,0,1,0,0,1,0,0,0,0,0,137.2724
Anonymous 14-11-22 09h35m,,,,,,,,1.0,358.082,433.0785,74.9965,5.6844,148.4457,9324.2426,-9634.6219,203.9321,0,0,0,1,0,0,1,0,0,0,0,0,362.246
Anonymous 14-11-22 09h35m,,,,,,,,2.0,474.7339,491.4003,16.6664,0.6259,59.9309,4718.1428,-1362.159,84.5597,0,0,0,0,0,0,1,0,0,0,0,0,478.899
Anonymous 14-11-22 09h35m,,,,,,,,3.0,516.3954,566.4076,50.0122,6.6098,200.9994,8268.0361,-10127.0766,225.0,0,0,0,0,0,0,1,0,0,0,0,0,520.561
Anonymous 14-11-22 09h35m,2.0,460.5417,172.5694,566.4076,716.4244,150.0168,0.1536,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,570.5892
Anonymous 14-11-22 09h35m,,,,,,,,4.0,716.4244,783.036,66.6117,4.2411,134.113,10094.7041,-10843.8199,174.144,0,0,0,0,0,0,1,0,0,0,0,0,720.5678
Anonymous 14-11-22 09h35m,3.0,214.2487,168.4102,783.036,899.6993,116.6633,0.3027,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,787.2013
Anonymous 14-11-22 09h35m,,,,,,,,5.0,899.6993,908.0385,8.3391,,33.4801,548.5719,,,1,0,0,0,0,0,1,0,0,0,0,0,903.8582
Anonymous 14-11-22 09h35m,4.0,210.2339,200.25,908.0385,1166.3355,258.2971,0.2904,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,912.2187
Anonymous 14-11-22 09h35m,,,,,,,,6.0,1166.3355,1182.9961,16.6606,1.2402,82.3883,8112.5181,,1.3748,1,0,0,0,0,0,1,0,0,0,0,0,1170.5093
Anonymous 14-11-22 09h35m,5.0,288.837,189.2826,1182.9961,1374.6494,191.6533,0.1624,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,1187.1572
Anonymous 14-11-22 09h35m,,,,,,,,7.0,1374.6494,1407.9906,33.3412,1.9795,85.0271,4664.9193,-5594.2569,352.2348,1,0,0,0,0,0,1,0,0,0,0,0,1378.8122
