TransitionSource,Paragraph4,Text_Area,Paragraph1,Formula,Paragraph3,Paragraph2,Figure,SubFigure2,SubFigure1,SubFigure3,Paragraph5,Paragraph6
Paragraph4,0.19444444444444445,0.19444444444444445,0.0,0.1111111111111111,0.1111111111111111,0.1388888888888889,0.05555555555555555,0.05555555555555555,0.08333333333333333,0.0,0.027777777777777776,0.027777777777777776
Text_Area,0.07407407407407407,0.024691358024691357,0.13580246913580246,0.037037037037037035,0.13580246913580246,0.12345679012345678,0.06172839506172839,0.024691358024691357,0.09876543209876543,0.0,0.18518518518518517,0.09876543209876543
Paragraph1,0.0,0.3333333333333333,0.2,0.0,0.13333333333333333,0.23333333333333334,0.03333333333333333,0.0,0.0,0.0,0.06666666666666667,0.0
Formula,0.030303030303030304,0.09090909090909091,0.030303030303030304,0.12121212121212122,0.0,0.12121212121212122,0.18181818181818182,0.030303030303030304,0.2727272727272727,0.06060606060606061,0.030303030303030304,0.030303030303030304
Paragraph3,0.0967741935483871,0.0,0.12903225806451613,0.03225806451612903,0.22580645161290322,0.06451612903225806,0.0,0.0967741935483871,0.0967741935483871,0.0,0.22580645161290322,0.03225806451612903
Paragraph2,0.18181818181818182,0.42424242424242425,0.15151515151515152,0.030303030303030304,0.030303030303030304,0.09090909090909091,0.06060606060606061,0.030303030303030304,0.0,0.0,0.0,0.0
Figure,0.022988505747126436,0.1724137931034483,0.0,0.11494252873563218,0.0,0.0,0.034482758620689655,0.2988505747126437,0.19540229885057472,0.08045977011494253,0.0,0.08045977011494253
SubFigure2,0.0,0.0594059405940594,0.009900990099009901,0.009900990099009901,0.0,0.019801980198019802,0.22772277227722773,0.15841584158415842,0.2376237623762376,0.22772277227722773,0.0297029702970297,0.019801980198019802
SubFigure1,0.012345679012345678,0.08641975308641975,0.0,0.07407407407407407,0.0,0.0,0.38271604938271603,0.24691358024691357,0.14814814814814814,0.037037037037037035,0.012345679012345678,0.0
SubFigure3,0.024390243902439025,0.04878048780487805,0.0,0.04878048780487805,0.0,0.0,0.17073170731707318,0.5121951219512195,0.024390243902439025,0.12195121951219512,0.0,0.04878048780487805
Paragraph5,0.125,0.10416666666666667,0.020833333333333332,0.020833333333333332,0.08333333333333333,0.0,0.10416666666666667,0.16666666666666666,0.0,0.0,0.22916666666666666,0.14583333333333334
Paragraph6,0.01639344262295082,0.19672131147540983,0.01639344262295082,0.0,0.0,0.0,0.03278688524590164,0.01639344262295082,0.06557377049180328,0.01639344262295082,0.11475409836065574,0.5245901639344263
