AOI,p1x,p1y,p2x,p2y
Accept,1529.14428,574.3034955,1622.81921,714.1562079
Anonymize,1432.830619,575.6228607,1525.186184,714.1562079
Article,12.95896328,402.3758099,601.9438445,660.1295896
Cookies,79.2379956,672.2057431,923.6317307,835.3272601
Default,1749.47827,303.8336272,1873.4986,338.1371227
Default_Btn,618.2721382,396.5442765,772.224622,443.1965443
Default_Info,618.7808056,446.4168567,773.4171489,488.0497184
Functional,1208.538533,608.606991,1319.365211,645.5492169
Logo,616.3743036,310.559897,720.0058856,343.0010879
Manage_Btn,779.4814023,396.1685952,925.4667613,443.0280932
Manage_Info,779.3647006,445.4255981,926.070975,495.9797873
Marketing,1209.857899,649.5073125,1320.684576,678.5333472
Popup_Text,618.2721382,345.2267819,904.0172786,394.2116631
Privacy_Slider,1204.580438,371.121253,1716.49414,452.9218961
Product,1209.857899,682.4914428,1331.239498,711.5174774
Reject,1337.836324,576.9422259,1427.553158,714.1562079
Toggle,1204.580438,459.5187221,1548.934758,508.3352349
Websites,1749.47827,342.0952183,1876.13733,567.7066694
